date,headline
"July 21, 2017",U.S. Department of Commerce Issues Affirmative Final Antidumping Duty Determination on Steel Concrete Reinforcing Bar From Taiwan
"July 13, 2017",U.S. Department of Commerce Initiates Antidumping and Countervailing Duty Investigations of Imports of Ripe Olives from Spain
"July 11, 2017","U.S. Department of Commerce Issues Affirmative Final Antidumping Duty Determinations of Emulsion Styrene-Butadiene Rubber from Brazil, Korea, Mexico and Poland"
"June 26, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Softwood Lumber from Canada
"June 23, 2017","U.S. Department of Commerce Initiates Antidumping and Countervailing Duty Investigations of Imports of Citric Acid and Certain Citrate Salts from Thailand, Belgium, and Colombia"
"May 16, 2017",U.S. Department of Commerce Issues Final Determination of Dumping and Foreign Subsidy Duty Rates on Steel Rebar from Japan and Turkey
"May 10, 2017",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations on Imports of Cold-Drawn Mechanical Tubing
"April 27, 2017",President Donald J. Trump Signs Presidential Memo Prioritizing Department of Commerce National Security Investigation into Aluminum
"April 24, 2017",U.S. Department of Commerce Issues Affirmative Preliminary Countervailing Duty Determination on Softwood Lumber from Canada
"April 21, 2017",U.S. Department of Commerce Initiates Antidumping Duty Investigation on Imports of  Carton-Closing Staples from the People’s Republic of China
"April 20, 2017",Presidential Memorandum Prioritizes Commerce Steel Investigation
"April 18, 2017",Statement from U.S. Secretary of Commerce Wilbur Ross on Today’s Trade Enforcement Actions
"April 12, 2017",U.S. Department of Commerce Issues Affirmative Final Antidumping Determinations on Finished Carbon Steel Flanges from Spain
"April 11, 2017",Department of Commerce Finds Dumping of Oil Country Tubular Goods from the Republic of Korea in Groundbreaking Ruling
"March 28, 2017",U.S. Department of Commerce Initiates Antidumping and Countervailing Duty Investigations of Aluminum Foil from China
"March 21, 2017",Department of Commerce Finalizes Antidumping and Countervailing Duty Investigation Determinations Against Chinese Chemical Companies
